"input_id","input_name","unit","required","source","validation_rule","used_for"
"PC_COUNT","전체 PC 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0}","[""INPUT_VALIDATION_OR_RESOLVER""]"
"BUSINESS_HOURS","하루 영업시간","h/day","conditional","사용자 운영정보","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true}","[""INPUT_VALIDATION_OR_RESOLVER""]"
"EMPTY_SEAT_RATE","평균 빈 좌석 비율","ratio","optional","사용자 로그 또는 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":1,""null_policy"":""block_if_required"",""zero_is_valid"":true}","[""INPUT_VALIDATION_OR_RESOLVER""]"
"IDLE_TRANSITION_TIME","절전 전환 지연시간","min/event","optional","사용자 실제 설정","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":1440,""null_policy"":""block_if_required"",""zero_is_valid"":true}","[""F_PC_SLEEP"",""F_PC_EVENTS""]"
"PC_TARGET_COUNT","동일 사양·상태의 대상 PC 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0,""lte_input"":""PC_COUNT""}","[""F_PC_SLEEP""]"
"PC_MEASURED_ACTIVE_W","PC 활성상태 실측 평균W","W","optional","MEASURED","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_provenance"":true,""measurement_boundary"":""PC 본체 AC 입력; 모니터 포함 여부 명시""}","[""F_PC_SLEEP""]"
"PC_MEASURED_IDLE_W","PC 유휴상태 실측 평균W","W","optional","MEASURED","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_provenance"":true,""measurement_boundary"":""PC 본체 AC 입력; 모니터 포함 여부 명시""}","[""F_PC_SLEEP""]"
"PC_MEASURED_SLEEP_W","PC 슬립 실측 평균W","W","optional","MEASURED","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_provenance"":true,""measurement_boundary"":""PC 본체 AC 입력; 모니터 포함 여부 명시""}","[""F_PC_SLEEP""]"
"PC_MEASURED_OFF_W","PC 오프 실측 평균W","W","optional","MEASURED","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_provenance"":true,""measurement_boundary"":""PC 본체 AC 입력; 모니터 포함 여부 명시""}","[""F_PC_SLEEP""]"
"PC_BASE_W","기존 PC 상태의 선택된 평균전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_PC_SLEEP""]"
"PC_TARGET_W","개선 PC 상태의 선택된 평균전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_PC_SLEEP""]"
"MONITOR_ON_W","모니터 ON 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_MONITOR_SLEEP""]"
"MONITOR_TARGET_W","모니터 목표모드 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_MONITOR_SLEEP""]"
"MONITOR_SLEEP_W","모니터 슬립 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_MONITOR_SLEEP""]"
"MONITOR_OFF_W","모니터 오프 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_MONITOR_SLEEP""]"
"LIGHT_W","등기구 1개의 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_LIGHT_OFF""]"
"LIGHT_OFF_W","소등 후 등기구 잔류전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_LIGHT_OFF""]"
"EQUIPMENT_BASE_W","설비 기존 상태 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_EQUIPMENT_TIME""]"
"EQUIPMENT_TARGET_W","설비 개선 상태 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_EQUIPMENT_TIME""]"
