rule_id,question_id,answer_code,waste_code,risk_points,reason,unknown_flag
SR_Q05_01,Q05,BOTH_AUTO_SAVE,PC_IDLE_ON,0,자동 절전 또는 종료 기능이 정상 작동함,false
SR_Q05_02,Q05,MANUAL_OFF,PC_IDLE_ON,1,직원 관리에 의존하여 누락 가능성 존재,false
SR_Q05_03,Q05,MONITOR_ONLY_OFF,PC_IDLE_ON,3,모니터만 끄고 PC 본체는 계속 작동하여 전력 낭비 발생,false
SR_Q05_04,Q05,BOTH_ON,PC_IDLE_ON,4,빈 좌석의 PC와 모니터가 모두 켜져 있어 지속적인 전력 낭비 발생,false
SR_Q05_05,Q05,VARIES,PC_IDLE_ON,2,관리가 불일치하여 유휴 전력 낭비 가능성 높음,false
SR_Q05_06,Q05,UNKNOWN,PC_IDLE_ON,0,빈 좌석 PC/모니터 관리 상태 확인 필요,true
SR_Q06_01,Q06,IMMEDIATE,PC_IDLE_WINDOW_LEAK,0,이용 종료 즉시 절전 전환됨,false
SR_Q06_02,Q06,WITHIN_5_MIN,PC_IDLE_WINDOW_LEAK,0,5분 이내 절전 전환으로 양호함,false
SR_Q06_03,Q06,MIN_5_15,PC_IDLE_WINDOW_LEAK,1,절전 전환 시간이 5~15분으로 소폭 대기 전력 발생,false
SR_Q06_04,Q06,MIN_15_30,PC_IDLE_WINDOW_LEAK,2,절전 전환 시간이 15~30분으로 대기 전력 누수 발생,false
SR_Q06_05,Q06,OVER_30_MIN,PC_IDLE_WINDOW_LEAK,3,30분 이상 긴 절전 대기 시간으로 유휴 전력 낭비 발생,false
SR_Q06_06,Q06,NO_AUTO_SLEEP,PC_IDLE_WINDOW_LEAK,4,자동 절전 기능이 없어 손님이 없는 동안 계속 전력 소비,false
SR_Q06_07,Q06,UNKNOWN,PC_IDLE_WINDOW_LEAK,0,PC/모니터 절전 전환 시간 확인 필요,true
SR_Q07_01,Q07,JUST_IN_TIME_AUTO_OFF,PC_UPDATE_IDLE,0,업데이트 작업 직후 자동 종료/절전됨,false
SR_Q07_02,Q07,JUST_IN_TIME_MANUAL_OFF,PC_UPDATE_IDLE,1,직원이 수동 종료하여 수동 누락 가능성 존재,false
SR_Q07_03,Q07,PRE_POWER_ON,PC_UPDATE_IDLE,2,업데이트 작업 전 미리 켜두어 전력 낭비 발생,false
SR_Q07_04,Q07,POST_KEEP_ON,PC_UPDATE_IDLE,2,업데이트 완료 후에도 한동안 켜두어 전력 낭비 발생,false
SR_Q07_05,Q07,PRE_POST_LONG_ON,PC_UPDATE_IDLE,4,업데이트 전후로 장시간 켜두어 심각한 전력 낭비 발생,false
SR_Q07_06,Q07,NOT_APPLICABLE,PC_UPDATE_IDLE,0,업데이트 관리가 해당되지 않음,false
SR_Q07_07,Q07,UNKNOWN,PC_UPDATE_IDLE,0,게임 업데이트 시 PC 관리 상태 확인 필요,true
SR_Q08_01,Q08,ALL_OFF,PERIPHERAL_IDLE_POWER,0,주변기기 전원이 모두 꺼짐,false
SR_Q08_02,Q08,SOME_POWERED,PERIPHERAL_IDLE_POWER,2,일부 주변기기에 전원이 계속 남아 있어 대기전력 누수 발생,false
SR_Q08_03,Q08,MULTIPLE_POWERED,PERIPHERAL_IDLE_POWER,3,다수 주변기기 전원이 지속 작동하여 잔류 대기전력 발생,false
SR_Q08_04,Q08,NOT_CHECKED_BECAUSE_ALWAYS_ON,PC_OFF_STANDBY_LEAK,3,PC가 상시 켜져 있어 잔류 전원 점검 미실시,false
SR_Q08_05,Q08,UNKNOWN,PERIPHERAL_IDLE_POWER,0,종료 후 주변기기 잔류 전원 상태 확인 필요,true
SR_Q09_01,Q09,TEMP_LE_22,HVAC_EXCESS_COOLING,4,여름철 22℃ 이하의 과도한 설정온도로 에어컨 전력 과다 사용,false
SR_Q09_02,Q09,TEMP_23_24,HVAC_EXCESS_COOLING,2,23~24℃ 설정으로 냉방 전력 사용 소폭 증가,false
SR_Q09_03,Q09,TEMP_25,HVAC_EXCESS_COOLING,0,적정 냉방 설정온도 유지,false
SR_Q09_04,Q09,TEMP_GE_26,HVAC_EXCESS_COOLING,0,권장 냉방 설정온도 준수,false
SR_Q09_05,Q09,VARIES,HVAC_EXCESS_COOLING,2,에어컨 설정온도가 불규칙하게 관리됨,false
SR_Q09_06,Q09,NO_AC,HVAC_EXCESS_COOLING,0,냉방 설비 미사용,false
SR_Q09_07,Q09,UNKNOWN,HVAC_EXCESS_COOLING,0,여름철 냉방 설정온도 확인 필요,true
SR_Q10_01,Q10,ALWAYS_MEASURE,HVAC_TEMPERATURE_UNCHECKED,0,실제 실내온도를 상시 측정하여 모니터링함,false
SR_Q10_02,Q10,SOMETIMES_MEASURE,HVAC_TEMPERATURE_UNCHECKED,1,실내온도를 가끔만 측정함,false
SR_Q10_03,Q10,SETPOINT_ONLY,HVAC_TEMPERATURE_UNCHECKED,3,리모컨 설정온도만 확인하여 실제 실내온도 불일치 가능성,false
SR_Q10_04,Q10,NEVER_MEASURE,HVAC_TEMPERATURE_UNCHECKED,4,실제 실내온도를 모니터링하지 않아 냉방 효율 저하,false
SR_Q10_05,Q10,NO_AC,HVAC_TEMPERATURE_UNCHECKED,0,냉방 설비 미사용,false
SR_Q10_06,Q10,UNKNOWN,HVAC_TEMPERATURE_UNCHECKED,0,실내온도 측정 여부 확인 필요,true
SR_Q11_01,Q11,WITHIN_2_WEEKS,HVAC_FILTER_MAINTENANCE,0,2주 이내 주기적 에어컨 필터 청소 시행,false
SR_Q11_02,Q11,TWO_WEEKS_TO_1_MONTH,HVAC_FILTER_MAINTENANCE,1,1개월 이내 필터 청소 시행,false
SR_Q11_03,Q11,ONE_TO_3_MONTHS,HVAC_FILTER_MAINTENANCE,2,필터 청소 주기가 긴 편으로 냉방 효율 저하 가능,false
SR_Q11_04,Q11,OVER_3_MONTHS,HVAC_FILTER_MAINTENANCE,3,필터 청소가 3개월 초과되어 열교환 효율 및 전력 소비 악화,false
