"formula_id","waste_code","formula_name","formula","required_inputs","optional_inputs","reference_parameters","output_unit","limitations"
"F_PC_SLEEP","PC_IDLE","미사용 PC 절전","(PC_BASE_W - PC_TARGET_W) * PC_TARGET_COUNT * PC_SAVABLE_HOURS * OCCURRENCE_DAYS / 1000","[""PC_BASE_W"",""PC_TARGET_W"",""PC_TARGET_COUNT"",""PC_SAVABLE_HOURS"",""OCCURRENCE_DAYS""]","[""PC_MODEL"",""IDLE_TRANSITION_TIME"",""PC_MEASURED_ACTIVE_W"",""PC_MEASURED_IDLE_W"",""PC_MEASURED_SLEEP_W"",""PC_MEASURED_OFF_W""]","[""PC_ACTIVE_METHOD"",""PC_ACTIVE_NO_REP"",""PC_IDLE_NO_REP"",""PC_SLEEP_NO_REP"",""PC_OFF_NO_REP""]","kWh","{""grade_rule"":{""A"":""대표 운전조건의 전후 실측 W 및 검증된 시간"",""B"":""일치 모델의 시험·사양 점값과 사용시간"",""C"":""출처와 경계가 있는 명시적 가정 또는 구간만 사용"",""D"":""유효 W 또는 시간이 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""baseline_is_psu_capacity"",""baseline_active_used_for_idle_without_evidence"",""target_state_not_supported""],""official_substitutions"":[""일치 모델의 공개 시험값만 가능; 규제상한 불가""],""measurement_required"":[""유휴·목표모드의 AC입력 평균W 우선""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""time_basis"":""동일 그룹 한 대당 일평균 유효 절전시간; 전환지연 제외"",""gross_or_net"":""gross; 전환·복귀 추가전력은 F_NET_ENERGY에서 처리""}"
"F_PC_EVENTS","PC_IDLE","PC 유휴 이벤트별 절전","sum((e[""baseline_w""] - e[""target_w""]) * e[""eligible_hours""] for e in PC_EVENTS) / 1000","[""PC_EVENTS""]","[""IDLE_TRANSITION_TIME""]","[""PC_ACTIVE_METHOD""]","kWh","{""grade_rule"":{""A"":""대표 운전조건의 전후 실측 W 및 검증된 시간"",""B"":""일치 모델의 시험·사양 점값과 사용시간"",""C"":""출처와 경계가 있는 명시적 가정 또는 구간만 사용"",""D"":""유효 W 또는 시간이 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary""],""official_substitutions"":[""일치 상태의 모델 시험값""],""measurement_required"":[""PC별 상태 로그와 평균W""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""time_basis"":""개별 PC·이벤트 한 행; eligible_hours=max(0,idle_duration_hours-transition_minutes/60); 이미 집계된 기간에 일수·대수 재곱 금지""}"
"F_MONITOR_SLEEP","MONITOR_IDLE","모니터 절전","(MONITOR_ON_W - MONITOR_TARGET_W) * MONITOR_TARGET_COUNT * MONITOR_SAVABLE_HOURS * OCCURRENCE_DAYS / 1000","[""MONITOR_ON_W"",""MONITOR_TARGET_W"",""MONITOR_TARGET_COUNT"",""MONITOR_SAVABLE_HOURS"",""OCCURRENCE_DAYS""]","[""MONITOR_MODEL"",""MONITOR_SLEEP_W"",""MONITOR_OFF_W""]","[""MONITOR_ON_NO_REP"",""MONITOR_SLEEP_NO_REP"",""MONITOR_OFF_NO_REP"",""LG_27GS75Q_ON""]","kWh","{""grade_rule"":{""A"":""대표 운전조건의 전후 실측 W 및 검증된 시간"",""B"":""일치 모델의 시험·사양 점값과 사용시간"",""C"":""출처와 경계가 있는 명시적 가정 또는 구간만 사용"",""D"":""유효 W 또는 시간이 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""pc_measurement_already_includes_monitor""],""official_substitutions"":[""일치 모델·밝기·주사율의 시험 점값""],""measurement_required"":[""ON 및 목표모드 AC입력 평균W""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""bounds"":""제조사 이하 표기는 점값으로 채택 금지; 구간 계산은 F_POWER_INTERVAL""}"
"F_LIGHT_OFF","LIGHT_UNUSED","불필요 조명 소등","LIGHT_W * LIGHT_TARGET_COUNT * LIGHT_OFF_HOURS * OPERATING_DAYS / 1000","[""LIGHT_W"",""LIGHT_TARGET_COUNT"",""LIGHT_OFF_HOURS"",""OPERATING_DAYS""]","[""LIGHT_MODEL"",""LIGHT_COUNT"",""LIGHT_OFF_W""]","[""LIGHT_LED_W_REQUIRED"",""LIGHT_FLUORESCENT_W_REQUIRED""]","kWh","{""grade_rule"":{""A"":""대표 운전조건의 전후 실측 W 및 검증된 시간"",""B"":""일치 모델의 시험·사양 점값과 사용시간"",""C"":""출처와 경계가 있는 명시적 가정 또는 구간만 사용"",""D"":""유효 W 또는 시간이 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""luminaire_losses_missing"",""dimmed_power_unknown"",""off_power_not_zero""],""official_substitutions"":[""동일 등기구 입력전력 시험값·정격값""],""measurement_required"":[""정격 확인 불가 또는 조광 시 실측""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""assumption"":""OFF=0을 확인한 완전 소등만. OFF 잔류전력이 있으면 F_EQUIPMENT_TIME에서 상태차 계산""}"
"F_EQUIPMENT_TIME","EQUIPMENT_RUNTIME","설비 상태 전환·가동시간 단축","(EQUIPMENT_BASE_W - EQUIPMENT_TARGET_W) * EQUIPMENT_COUNT * EQUIPMENT_CHANGE_HOURS * OCCURRENCE_DAYS / 1000","[""EQUIPMENT_BASE_W"",""EQUIPMENT_TARGET_W"",""EQUIPMENT_COUNT"",""EQUIPMENT_CHANGE_HOURS"",""OCCURRENCE_DAYS""]","[""EQUIPMENT_MODEL"",""EQUIPMENT_TYPE""]","[""MICROWAVE_POWER_REQUIRED"",""WATER_HEATER_POWER_REQUIRED""]","kWh","{""grade_rule"":{""A"":""대표 운전조건의 전후 실측 W 및 검증된 시간"",""B"":""일치 모델의 시험·사양 점값과 사용시간"",""C"":""출처와 경계가 있는 명시적 가정 또는 구간만 사용"",""D"":""유효 W 또는 시간이 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""cycling_or_rebound_not_accounted"",""output_w_used_as_input_w""],""official_substitutions"":[""해당 고정 운전상태의 모델별 전기입력""],""measurement_required"":[""변동부하는 해당 구간 평균W 또는 적산kWh""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""use_for"":""전자레인지 가열·보온·주변기기 등 상태와 유효시간을 확인한 설비. 냉장설비 전체정지에는 기본 적용 금지""}"
"F_AC_MEASURED","AC_RUNTIME","냉방 시스템 가동시간 단축 실측","(AC_MEASURED_W - AC_TARGET_MEASURED_W) * AC_CHANGE_HOURS * OCCURRENCE_DAYS / 1000","[""AC_MEASURED_W"",""AC_TARGET_MEASURED_W"",""AC_CHANGE_HOURS"",""OCCURRENCE_DAYS"",""AC_SYSTEM_BOUNDARY""]","[""AC_MODEL"",""AC_COUNT"",""AC_INDOOR_COUNT"",""AC_OUTDOOR_COUNT""]","[""AC_SYSTEM_BOUNDARY"",""AC_RATED_INPUT_REQUIRED""]","kWh","{""grade_rule"":{""A"":""전체 시스템 실측 및 유사 외기·부하; 재가동 포함"",""C"":""구간 평균의 외삽 불확실성이 큼"",""D"":""실내기 수만 있거나 열량·입력 혼동""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""indoor_count_only"",""cooling_capacity_used_as_input"",""rebound_unaccounted""],""official_substitutions"":[],""measurement_required"":[""실외기·실내기·보조전원 전체의 해당 구간 AC입력""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""count_policy"":""전체 시스템 W이므로 AC_COUNT를 곱하지 않음; 복수 독립시스템은 시스템별 계산 후 합산""}"
"F_AC_RATED_SCENARIO","AC_RUNTIME","냉방 정격입력 기반 참고 시나리오","AC_RATED_INPUT_W * AC_EQUIVALENT_FULL_LOAD_HOURS * OCCURRENCE_DAYS / 1000","[""AC_RATED_INPUT_W"",""AC_EQUIVALENT_FULL_LOAD_HOURS"",""OCCURRENCE_DAYS"",""AC_SYSTEM_BOUNDARY"",""AC_MODEL""]","[""AC_CSPF""]","[""AC_RATED_INPUT_REQUIRED"",""AC_CSPF_METHOD""]","kWh","{""grade_rule"":{""B"":""정격 조건·부하 상당시간의 근거가 모두 검증됨"",""C"":""부하 상당시간이 명시적 가정"",""D"":""냉방능력 또는 CSPF만 보유""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""full_load_hours_unsubstantiated"",""rebound_unaccounted""],""official_substitutions"":[""일치 실내외기 조합의 정격 전기입력""],""measurement_required"":[""상당 전부하시간 산정을 위한 운전기록""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""not_allowed"":""AC_COUNT*arbitrary_W; cooling_capacity/CSPF as instantaneous power""}"
"F_STANDBY_CUTOFF","STANDBY_UNUSED","비필수 설비 대기전력 차단","(STANDBY_W - CUTOFF_W) * STANDBY_COUNT * CUTOFF_HOURS * OCCURRENCE_DAYS / 1000","[""STANDBY_W"",""CUTOFF_W"",""STANDBY_COUNT"",""CUTOFF_HOURS"",""OCCURRENCE_DAYS"",""SHUTDOWN_ALLOWED""]","[""EQUIPMENT_MODEL""]","[""STANDBY_CURRENT_SCOPE""]","kWh","{""grade_rule"":{""A"":""대표 운전조건의 전후 실측 W 및 검증된 시간"",""B"":""일치 모델의 시험·사양 점값과 사용시간"",""C"":""출처와 경계가 있는 명시적 가정 또는 구간만 사용"",""D"":""유효 W 또는 시간이 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""shutdown_not_allowed"",""regulatory_limit_used_as_actual""],""official_substitutions"":[""모델별 실제 시험 점값만""],""measurement_required"":[""대기상태·차단후 입력 전력""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""note"":""공유기·POS·서버 등 필수 상시기능이 있으면 차단 대상 제외""}"
"F_METERED_BEFORE_AFTER","METERED_INTERVENTION","정규화한 전후 적산전력 차이","BASELINE_NORMALIZED_KWH - POST_KWH","[""BASELINE_NORMALIZED_KWH"",""POST_KWH"",""NORMALIZATION_METHOD"",""MEASUREMENT_PERIOD"",""MEASUREMENT_BOUNDARY""]","[""EQUIPMENT_TYPE"",""EQUIPMENT_MODEL""]","[""REFRIGERATOR_POWER_REQUIRED"",""FREEZER_POWER_REQUIRED"",""SHOWCASE_POWER_REQUIRED"",""BEVERAGE_POWER_REQUIRED"",""ICE_MAKER_POWER_REQUIRED""]","kWh","{""grade_rule"":{""A"":""동일 서비스·정규화·계측경계 검증"",""C"":""정규화 모형 불확실성을 명시"",""D"":""동등한 기준기간 또는 정규화 근거 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""different_service_level"",""temperature_or_throughput_uncontrolled""],""official_substitutions"":[],""measurement_required"":[""전후 적산전력과 외기·보관온도·처리량""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""note"":""압축기 듀티·제상·재가동까지 포함한 비교. 정격W×24시간 대체 금지""}"
"F_POWER_INTERVAL","BOUNDED_SCENARIO","입력 범위의 절감전력 구간","((BASE_W_MIN - TARGET_W_MAX) * DEVICE_HOURS / 1000, (BASE_W_MAX - TARGET_W_MIN) * DEVICE_HOURS / 1000)","[""BASE_W_MIN"",""BASE_W_MAX"",""TARGET_W_MIN"",""TARGET_W_MAX"",""DEVICE_HOURS"",""BOUND_PROVENANCE""]","[]","[]","kWh_interval","{""grade_rule"":{""C"":""검증된 모델 사양 경계 또는 출처 있는 가정 범위만"",""D"":""규제 상한만 있거나 경계의 적용 근거 없음""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary"",""range_reversed"",""limit_not_proven_for_this_model""],""official_substitutions"":[],""measurement_required"":[""범위를 좁힐 현장 측정 권고""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""note"":""upper_bound만 있고 하한을 0으로 둘 경우 물리적 비음수 가정임을 ASSUMPTION으로 기록. 신뢰구간 아님. 음수 하한을 숨기지 않음""}"
