knowledge_id,domain,waste_code,problem,recommended_action,evidence,source_organization,source_document,publication_year,page,source_url,source_type
PC_IDLE_ON_001,PC·모니터,PC_IDLE_ON,PC방 적용 상황: 장시간 비사용 좌석 PC가 켜져 있다.,장시간 사용하지 않는 PC의 전원을 종료한다. [PC방 적용 조건·편집] 게임·업데이트·원격관리 작업이 없는 좌석에 적용한다.,사무기기를 오래 쓰지 않을 때 전원을 차단하도록 안내한다.,전력거래소,전력수급 절전 참여요령 - 사무실,미표기,해당 없음(웹); 여름철 평상시 > 필수사항 > 전기제품,https://kpx.or.kr/menu.es?mid=a30602020000,웹페이지
PC_POWER_MANAGEMENT_001,PC·모니터,PC_POWER_MANAGEMENT_OFF;PC_IDLE_ON;MONITOR_IDLE_ON,PC방 적용 상황: 빈 좌석 PC와 모니터가 절전으로 전환되지 않는다.,미사용 PC의 자동 절전기능을 설정한다. [PC방 적용 조건·편집] 이용 중인 세션과 관리 작업에 영향을 주지 않는 조건에서 적용한다.,일정 시간 미사용 시 본체·모니터의 전력 소비를 낮추는 절전기능을 안내한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.17 / PDF 10쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
PC_MONITOR_EFFICIENCY_001,PC·모니터,PC_EFFICIENCY_SELECTION;MONITOR_EFFICIENCY_SELECTION,PC방 적용 상황: PC·모니터 구매 시 효율 정보를 확인하지 않는다.,해당 모델의 효율관리 적용 여부와 신고된 효율 정보를 확인한다. [PC방 적용 조건·편집] 모든 조립 PC가 동일한 등급 대상이라고 간주하지 않는다.,현행 공단 안내의 대상품목에 컴퓨터와 모니터가 포함된다.,한국에너지공단,에너지소비 효율등급 표시제도,미표기,해당 없음(웹); 제도의 내용 > 사업 대상,https://www.energy.or.kr/front/conts/105002004003000.do,웹페이지
HVAC_OPEN_DOOR_001,냉난방·공조,HVAC_OPEN_DOOR,PC방 적용 상황: 냉난방 중 출입문을 장시간 열어둔다.,냉난방 중에는 출입문을 닫고 운영한다. [PC방 적용 조건·편집] 필요한 환기를 중단하라는 의미가 아니다.,상점 실천요령은 문을 닫고 냉난방하도록 권고한다.,산업통상자원부·한국에너지공단,"2025 여름철 에너지절약 실천요령 모션그래픽(상점) (40"")",2025,해당 없음(웹); 동영상 자막 2번,https://www.energy.or.kr/front/board/View21.do?boardMngNo=21&boardNo=10000672,웹페이지
HVAC_EXCESS_COOLING_001,냉난방·공조,HVAC_EXCESS_COOLING,PC방 적용 상황: 필요 이상으로 실내를 차갑게 유지한다.,실내온도를 확인하고 냉방 설정을 조절한다. [PC방 적용 조건·편집] 실내온도 권고를 리모컨 설정값이나 서버실 온도 기준과 동일시하지 않는다.,2025년 상점 안내는 여름철 실내 적정온도로 26도를 제시한다.,산업통상자원부·한국에너지공단,"2025 여름철 에너지절약 실천요령 모션그래픽(상점) (40"")",2025,해당 없음(웹); 동영상 자막 1번,https://www.energy.or.kr/front/board/View21.do?boardMngNo=21&boardNo=10000672,웹페이지
HVAC_EXCESS_HEATING_001,냉난방·공조,HVAC_EXCESS_HEATING,PC방 적용 상황: 겨울철 실내가 과도하게 덥다.,실내온도를 확인하고 과도한 난방을 낮춘다. [PC방 적용 조건·편집] 이 값은 실내 권고온도이며 PC방 법정 의무온도로 해석하지 않는다.,상점의 겨울철 평상시 안내는 실내온도 18~20도를 제시한다.,전력거래소,전력수급 절전 참여요령 - 상점,미표기,해당 없음(웹); 겨울철 평상시 > 필수사항 > 난방,https://kpx.or.kr/menu.es?mid=a30602030000,웹페이지
HVAC_FILTER_MAINTENANCE_001,냉난방·공조,HVAC_FILTER_MAINTENANCE,PC방 적용 상황: 에어컨 필터 청소·교체를 미루고 있다.,사용설명서의 주기에 따라 실내기 필터를 청소·교체한다.,필터 막힘은 흡입 풍량·풍속을 줄여 불필요한 가동을 유발한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.21 / PDF 12쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
HVAC_OUTDOOR_MAINTENANCE_001,냉난방·공조,HVAC_OUTDOOR_MAINTENANCE,PC방 적용 상황: 실외기 방열판에 먼지가 쌓여 있다.,청소 가능한 실외기 방열판을 주기적으로 관리한다. [PC방 적용 조건·편집] 접근·청소가 어려우면 유지관리 담당자에게 점검을 요청한다.,방열판의 먼지는 방열을 방해하므로 주기적 청소를 안내한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.21 / PDF 12쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
HVAC_SOLAR_GAIN_001,냉난방·공조,HVAC_SOLAR_GAIN,PC방 적용 상황: 냉방 중 창으로 강한 햇볕이 들어온다.,커튼 등으로 유입되는 직사광선을 차단한다.,냉방 실천방법에 커튼을 통한 햇볕 차단을 포함한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.20 / PDF 12쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
HVAC_FAN_ASSIST_001,냉난방·공조,HVAC_AIR_CIRCULATION,PC방 적용 상황: 냉기가 필요한 공간으로 잘 전달되지 않는다.,에어컨과 선풍기의 바람 방향을 맞춰 함께 사용한다. [PC방 적용 조건·편집] 선풍기 추가만으로 총전력 감소가 보장된다는 뜻은 아니다.,에어컨·선풍기의 동시 사용과 동일한 풍향을 안내한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 pp.20-21 / PDF 12쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
