"reference_id","category","equipment","parameter","state","value_min","value_max","unit","reference_type","source_organization","source_document","publication_year","page","source_url","applicability","calculation_note","confidence"
"PC_SLEEP_LIMIT_BASE","pc","desktop_computer","power_consumption","sleep","","5","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 280 / 별표1 49.6.2.1","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":""2025-01-01"",""valid_to_exclusive"":null,""scope"":""데스크탑·일체형; 서버·워크스테이션 제외""}","규제 기본 상한. 실제 소비전력 대입 금지. WOL 및 메모리 추가허용치 별도.","VERIFIED_SOURCE"
"PC_OFF_LIMIT_BASE","pc","desktop_computer","power_consumption","off","","1","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 280 / 별표1 49.6.2.1","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":""2025-01-01"",""valid_to_exclusive"":null}","규제 기본 상한. WOL 추가허용치 별도. 오프는 전원 분리와 다름.","VERIFIED_SOURCE"
"PC_WOL_ALLOWANCE","pc","desktop_computer","power_allowance","sleep_or_off","0.7","0.7","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 280 / 별표1 49.6.2.1","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","WOL 기능 조건에 따른 기준 추가량. 실제 전력에 더하지 않음.","VERIFIED_SOURCE"
"PC_RAM_ALLOWANCE","pc","desktop_computer","power_allowance","sleep","0.03","0.03","W/GB","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 280 / 별표1 49.6.2.1","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""threshold_gb"":32}","시스템 메모리 32GB 초과분 GB당 추가허용량. 실제 전력 추정 금지.","VERIFIED_SOURCE"
"PC_SLEEP_TRANSITION_LIMIT","pc","desktop_computer","transition_time","sleep","","30","min","regulatory_limit","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 280 / 별표1 49.6.2.1","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","최대 이행시간 기준. 사용자 현재 설정 또는 절감시간으로 자동 대입 금지.","VERIFIED_SOURCE"
"MONITOR_SLEEP_LIMIT_BASE","monitor","computer_monitor","power_consumption","sleep","","0.5","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""scope"":""별표1 적용범위 및 추가기능 조건 확인""}","비네트워크 모니터의 기본 상한. 추가기능 허용량 별도. 실제 Sleep W 아님.","VERIFIED_SOURCE"
"MONITOR_NETWORK_SLEEP_LIMIT","monitor","computer_monitor","power_consumption","network_sleep","","2.5","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","네트워크 기능 제품의 기본 상한. 일반 슬립 상한과 합산하지 않음.","VERIFIED_SOURCE"
"MONITOR_OFF_LIMIT","monitor","computer_monitor","power_consumption","off","","0.5","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.3","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","오프모드 없는 기기에는 미적용. 실제 소비전력 대체 금지.","VERIFIED_SOURCE"
"MONITOR_ALLOW_USB1","monitor","computer_monitor","power_allowance","sleep","0.1","0.1","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""feature"":""USB1""}","출하시 슬립 중 기능 활성 조건. 각 추가기능별 가장 큰 허용치 적용. 연결 포트마다 무조건 합산 금지.","VERIFIED_SOURCE"
"MONITOR_ALLOW_USB2","monitor","computer_monitor","power_allowance","sleep","0.5","0.5","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""feature"":""USB2""}","출하시 슬립 중 기능 활성 조건. 각 추가기능별 가장 큰 허용치 적용. 연결 포트마다 무조건 합산 금지.","VERIFIED_SOURCE"
"MONITOR_ALLOW_USB3_DP","monitor","computer_monitor","power_allowance","sleep","0.7","0.7","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""feature"":""USB3_DP""}","출하시 슬립 중 기능 활성 조건. 각 추가기능별 가장 큰 허용치 적용. 연결 포트마다 무조건 합산 금지.","VERIFIED_SOURCE"
"MONITOR_ALLOW_PRESENCE","monitor","computer_monitor","power_allowance","sleep","0.5","0.5","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""feature"":""PRESENCE""}","출하시 슬립 중 기능 활성 조건. 각 추가기능별 가장 큰 허용치 적용. 연결 포트마다 무조건 합산 금지.","VERIFIED_SOURCE"
"MONITOR_ALLOW_TOUCH","monitor","computer_monitor","power_allowance","sleep","1","1","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""feature"":""TOUCH""}","출하시 슬립 중 기능 활성 조건. 각 추가기능별 가장 큰 허용치 적용. 연결 포트마다 무조건 합산 금지.","VERIFIED_SOURCE"
