solution_id,waste_code,solution_name,solution_action,solution_type,calculation_available,formula_id,requires_measurement,rag_query,implementation_difficulty,notes
SOL_PC_001,PC_IDLE_ON,빈 좌석 PC 불필요 가동시간 축소,,ACTION,TRUE,F_PC_SLEEP,FALSE,미사용 컴퓨터 전원 관리 자동 절전 대기전력,,
SOL_PC_002,MONITOR_IDLE_ON,미사용 모니터 자동 절전 적용,,ACTION,TRUE,F_MONITOR_SLEEP,FALSE,미사용 모니터 자동 절전 대기전력,,
SOL_PC_003,PC_IDLE_WINDOW_LEAK,빈 좌석 PC 자동 절전 전환시간 최적화,,ACTION,TRUE,F_PC_SLEEP,FALSE,컴퓨터 자동 절전 미사용 시간 대기전력 전원관리,,
SOL_PC_004,PC_UPDATE_IDLE,게임 업데이트 전후 불필요 PC 가동시간 축소,,ACTION,TRUE,F_PC_SLEEP,FALSE,장시간 미사용 컴퓨터 전원 종료 자동 절전,,
SOL_PC_005,PC_OFF_STANDBY_LEAK,PC 종료 후 주변기기 잔류전력 점검 및 차단,,CHECK,TRUE,F_STANDBY_CUTOFF,TRUE,전자기기 대기전력 미사용 기기 전원 차단,,
SOL_PC_006,PERIPHERAL_IDLE_POWER,미사용 주변기기 대기전력 관리,,ACTION,TRUE,F_STANDBY_CUTOFF,TRUE,주변기기 대기전력 미사용 전자기기 전원 관리,,
SOL_HVAC_001,HVAC_EXCESS_COOLING,실제 실내온도를 확인하며 과도한 냉방 조정,,ACTION,FALSE,,FALSE,적정 냉방 실내온도 에너지 절약,,
SOL_HVAC_002,HVAC_TEMPERATURE_UNCHECKED,별도 온도계 등을 통한 실제 실내온도 확인,,CHECK,FALSE,,FALSE,실내온도 확인 적정 냉방 에너지관리,,
SOL_HVAC_003,HVAC_FILTER_MAINTENANCE,에어컨 필터 상태 점검 및 정기 관리,,ACTION,FALSE,,FALSE,에어컨 필터 청소 냉방 효율 에너지 절약,,
SOL_HVAC_004,HVAC_OUTDOOR_HEAT_RECIRCULATION,실외기 주변 통풍과 배출열 정체 상태 점검,,CHECK,FALSE,,FALSE,에어컨 실외기 통풍 장애물 방열 냉방 효율,,
SOL_OPS_001,LOW_OCCUPANCY_ZONE_OPERATION,저이용 시간대 구역 중심 운영 검토,,ACTION,FALSE,,FALSE,미사용 공간 구역별 조명 냉방 에너지 절약,,
SOL_OPS_002,HIDDEN_BASELOAD_RISK,저이용 시간대 기저부하 측정 및 상시가동 설비 확인,,MEASURE,FALSE,,TRUE,시간대별 전력사용 에너지 모니터링 기저부하 설비별 사용량,,
SOL_OPS_003,ENERGY_MONITORING_ABSENT,시간대별 전력사용량 모니터링 체계 마련,,MEASURE,FALSE,,TRUE,에너지 모니터링 시간대별 전력사용량 설비별 계측,,
SOL_REF_001,REFRIG_DOOR_HEATER_ALWAYS_ON,냉장 쇼케이스 결로방지 히터 제어방식 확인,,CHECK,FALSE,,TRUE,냉장 쇼케이스 결로방지 도어히터 온습도 제어,,
SOL_REF_002,REFRIG_DEFROST_CONTROL,냉장·냉동 쇼케이스 제상 운전방식 및 제조사 설정 확인,,CHECK,FALSE,,FALSE,냉장 냉동 쇼케이스 제상히터 제상 제어 에너지 절감,,
